Name_lang,SourceText_lang,Description_lang,ID,MountTypeID,Flags,SourceTypeEnum,SourceSpellID,PlayerConditionID,MountFlyRideHeight,UiModelSceneID,MountSpecialRiderAnimKitID,MountSpecialSpellVisualKitID
Brown Skeletal Horse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The Forsaken believe that without a purpose, even beasts of burden suffer in undeath.",67,230,0,2,17464,0,0,4,0,0
Green Skeletal Warhorse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"When fallen heroes are raised into undeath, so too are their horses.",68,230,0,2,17465,0,0,4,0,0
Rivendare's Deathcharger,|cFFFFD200Drop:|r Lord Aurius Rivendare|n|cFFFFD200Location:|r Stratholme,"When Baron Rivendare became a champion of the Scourge, he condemned his favorite horse to join him in undeath.",69,230,0,0,17481,0,0,4,0,0
Riding Kodo,|cFFFFD200Legacy|r,"""The kodo is the backbone of our people. Wherever the Horde goes - in trade, settlement, or war - there you will find the mighty kodo."" - Harb Clawhoof",70,230,64,2,18363,0,0,4,0,0
Gray Kodo,|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The kodo is the backbone of our people. Wherever the Horde goes - in trade, settlement, or war - there you will find the mighty kodo."" - Harb Clawhoof",71,230,0,2,18989,0,0,4,0,0
Brown Kodo,|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"""The kodo is the backbone of our people. Wherever the Horde goes - in trade, settlement, or war - there you will find the mighty kodo."" - Harb Clawhoof",72,230,0,2,18990,0,0,4,0,0
Green Kodo,|cFFFFD200Legacy|r,"An alpha member of the herd, this kodo is a prime example of the mighty creatures which thunder through Desolace.",73,230,64,2,18991,0,0,4,0,0
Teal Kodo,|cFFFFD200Legacy|r,"""The kodo is the backbone of our people. Wherever the Horde goes - in trade, settlement, or war - there you will find the mighty kodo."" - Harb Clawhoof",74,230,64,2,18992,0,0,4,0,0
Black War Steed,|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Alliance.blp:0|t,Trained to withstand brutal hand-to-hand combat in the fiercest battlefields.,75,230,0,2,22717,0,0,4,0,0
Black War Kodo,|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Horde.blp:0|t,"Bred for their aggressive, unpredictable demeanor by the Kor'kron stablemasters, the Black War Kodos' trumpeting call signifies that blood will soon be shed.",76,230,0,2,22718,0,0,4,0,0
Black Battlestrider,|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Alliance.blp:0|t,A properly accelerated gnome in battle is a thing of terrible beauty. - High Tinker Mekkatorque,77,230,0,2,22719,0,0,4,0,0
Black War Ram,|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Alliance.blp:0|t,The dwarves value their ram companions for their fearlessness charging into battle.,78,230,0,2,22720,0,0,4,0,0
Black War Raptor,|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Horde.blp:0|t,Bred from the same vicious line of raptors which sired Ohgan and brought victory to the Gurubashi Empire.,79,230,0,2,22721,0,0,4,0,0
Red Skeletal Warhorse,|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Horde.blp:0|t,"When fallen heroes are raised into undeath, so too are their horses.",80,230,0,2,22722,0,0,4,0,0
Black War Tiger,|cFFFFD200Vendor: |rLieutenant Karter|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Alliance.blp:0|t,"Like their distant nightsaber cousins, tigers are renowned for their razor-sharp claws, incredible agility, and love of being scratched behind the ears.",81,230,0,2,22723,0,0,4,0,0
Black War Wolf,|cFFFFD200Vendor: |rRaider Bork|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Horde.blp:0|t,Prized by Orgrimmar guards for their keen sense of smell.,82,230,0,2,22724,0,0,4,0,0
Dreadsteed,|cFFFFD200Class: |rWarlock,WARNING: It craves only fel energy. Not apples. It hates the seeds.,83,230,0,1,23161,31504,0,4,0,0
Charger,|cFFFFD200Paladin|r,Redeemed by the Light. Devoted to your cause.,84,230,4,1,23214,27943,0,4,0,0
Swift Mistsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Some historians claim that this breed's misty grey coat is the result of ancient Highborne experiments conducted on nightsabers.,85,230,0,2,23219,0,0,4,0,0
Swift Frostsaber,|cFFFFD200Vendor:|r Lelanai|n|cFFFFD200Location:|r Darnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Night elves raise frostsaber cubs from infancy, forging lifelong bonds of trust between rider and beast.",87,230,0,2,23221,0,0,4,0,0
Swift Yellow Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"We have made a lot of improvements, but they are still based on the Mekkatorque designs. -Milli Featherwhistle",88,230,0,2,23222,0,0,4,0,0
Swift White Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"We have made a lot of improvements, but they are still based on the Mekkatorque designs. -Milli Featherwhistle",89,230,0,2,23223,0,0,4,0,0
Swift Green Mechanostrider,|cFFFFD200Vendor: |rMilli Featherwhistle|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"We have made a lot of improvements, but they are still based on the Mekkatorque designs. -Milli Featherwhistle",90,230,0,2,23225,0,0,4,0,0
Swift Palomino,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Prized by horse breeders for their discipline and steadfastness.,91,230,0,2,23227,0,0,4,0,0
Swift White Steed,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,A veteran of some of the toughest battles fought by the Argent Crusade.,92,230,0,2,23228,0,0,4,0,0
Swift Brown Steed,|cFFFFD200Vendor: |rKatie Stokx|n|cFFFFD200Zone: |rStormwind City|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,A veteran of some of the toughest battles fought by the Argent Crusade.,93,230,0,2,23229,0,0,4,0,0
Swift Brown Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,The Barak Tor'ol ram's thick bony skull and massive horns make it the ideal mount for charging through groups of armored enemies.,94,230,0,2,23238,0,0,4,0,0
Swift Gray Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,The Barak Tor'ol ram's thick bony skull and massive horns make it the ideal mount for charging through groups of armored enemies.,95,230,0,2,23239,0,0,4,0,0
Swift White Ram,|cFFFFD200Vendor: |rVeron Amberstill|n|cFFFFD200Zone: |rDun Morogh|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t|n,The Barak Tor'ol ram's thick bony skull and massive horns make it the ideal mount for charging through groups of armored enemies.,96,230,0,2,23240,0,0,4,0,0
Swift Blue Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Longtime allies of the trolls, these jungle hunters form a special bond with their masters. They become steed, guardian, and friend.",97,230,0,2,23241,0,0,4,0,0
Swift Olive Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Longtime allies of the trolls, these jungle hunters form a special bond with their masters. They become mount, guardian, and friend.",98,230,0,2,23242,0,0,4,0,0
Swift Orange Raptor,|cFFFFD200Vendor: |rZjolnir|n|cFFFFD200Zone: |rDurotar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"Longtime allies of the trolls, these jungle hunters form a special bond with their masters. They become mount, guardian, and friend.",99,230,0,2,23243,0,0,4,0,0
Purple Skeletal Warhorse,|cFFFFD200Vendor: |rZachariah Post|n|cFFFFD200Zone: |rTirisfal Glades|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"When fallen heroes are raised into undeath, so too are their horses.",100,230,0,2,23246,0,0,4,0,0
Great White Kodo,|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,A rare albino of the species first spotted in Desolace.  The centaur claim that a white kodo is a harbinger of doom.,101,230,0,2,23247,0,0,4,0,0
Great Gray Kodo,|cFFFFD200Vendor: |rHarb Clawhoof|n|cFFFFD200Zone: |rMulgore|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"An alpha member of the herd, this kodo is a prime example of the mighty creatures which thunder through Desolace.",102,230,0,2,23248,0,0,4,0,0
Great Brown Kodo,|cFFFFD200Vendor:|r Harb Clawhoof|n|cFFFFD200Location:|r Mulgore|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"An alpha member of the herd, this kodo is a prime example of the mighty creatures which thunder through the Northern Barrens.",103,230,0,2,23249,0,0,4,0,0
Swift Brown Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r1|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The wolves of the Horde are befriended, not domesticated.",104,230,0,2,23250,0,0,4,0,0
Swift Timber Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The wolves of the Horde are befriended, not domesticated.",105,230,0,2,23251,0,0,4,0,0
Swift Gray Wolf,|cFFFFD200Vendor: |rOgunaro Wolfrunner|n|cFFFFD200Zone: |rOrgrimmar|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,"The wolves of the Horde are befriended, not domesticated.",106,230,0,2,23252,0,0,4,0,0
Swift Stormsaber,|cFFFFD200Vendor: |rLelanai|n|cFFFFD200Zone: |rDarnassus|n|cFFFFD200Cost: |r10|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t,Rumor has it that this breed was named after the renowned archdruid Malfurion Stormrage.,107,230,0,2,23338,0,0,4,0,0
Frostwolf Howler,|cFFFFD200Vendor: |rJorek Ironside|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Horde.blp:0|t|n|n,Raised in the Alterac Mountains by the Frostwolf Clan.,108,230,4,2,23509,0,0,4,0,0
Stormpike Battle Charger,|cFFFFD200Vendor: |rThanthaldis Snowgleam|n|cFFFFD200Zone: |rHillsbrad Foothills|n|cFFFFD200Cost: |r2000|TINTERFACE\PVPFRAME\PVPCurrency-Honor-Alliance.blp:0|t,The Stormpike clan's mount trainers have a tradition of etching their names onto the left horn of every battle ram they raise.,109,230,4,2,23510,0,0,4,0,0
Swift Razzashi Raptor,|cFFFFD200Drop: |rBloodlord Mandokir|n|cFFFFD200Location: |rZul'Gurub,The only known Razzashi Raptors were said to have been in the custody of Bloodlord Mandokir in Zul'Gurub.  This species of raptor has not been seen in many years.,110,230,64,0,24242,0,0,4,0,0
Swift Zulian Tiger,|cFFFFD200Legacy|r,"The last known Zulian tigers were kept by High Priest Thekal, deep within Zul'Gurub.  They are said to have been hunted into extinction.",111,230,64,0,24252,0,0,4,0,0
Black Qiraji Battle Tank,|cFFFFD200Legacy|r,"Although many varieties of Qiraji Battle Tank can still be found in the ruins of Ahn'Qiraj today, the darkest of the species were only seen on the day the Scarab gong was rung.",116,230,64,0,25863,0,0,44,0,0
Blue Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,This (relatively) domesticated silithid is at home only in the desert sands of Ahn'Qiraj.,117,241,0,0,25953,0,0,44,0,0
Red Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,This (relatively) domesticated silithid is at home only in the desert sands of Ahn'Qiraj.,118,241,0,0,26054,0,0,44,0,0
Yellow Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,This (relatively) domesticated silithid is at home only in the desert sands of Ahn'Qiraj.,119,241,0,0,26055,0,0,44,0,0
Green Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,This (relatively) domesticated silithid is at home only in the desert sands of Ahn'Qiraj.,120,241,0,0,26056,0,0,44,0,0
Black Qiraji Battle Tank,|cFFFFD200Legacy|r,"Although many varieties of Qiraji Battle Tank can still be found in the ruins of Ahn'Qiraj today, the darkest of the species were only seen on the day the Scarab gong was rung.",121,230,64,0,26655,0,0,44,0,0
Black Qiraji Battle Tank,|cFFFFD200Drop: |rWorld Drop|n|cFFFFD200Location: |rTemple of Ahn'Qiraj,"Although many varieties of Qiraji Battle Tank can still be found in the ruins of Ahn'Qiraj today, the darkest of the species were only seen on the day the Scarab gong was rung.",122,230,64,0,26656,0,0,44,0,0
Nether Drake,"|cFFFFD200Vendor: |rDrake Dealer Hurlunk|n|cFFFFD200Zone: |rShadowmoon Valley, Outland|n|cFFFFD200Cost: |r200|TINTERFACE\MONEYFRAME\UI-GOLDICON.BLP:0|t",The moods of these tempestuous mounts are known to shift as unpredictably and as violently as their physical forms.,123,248,192,2,28828,0,0,4,0,0
